classifier,size,training,validation
weka.classifiers.bayes.NaiveBayes,4953,3.1578947368421098,0.0
weka.classifiers.bayes.NaiveBayes,5016,1.05263157894737,0.0
weka.classifiers.bayes.NaiveBayes,5014,0.0,9.090909090909093
weka.classifiers.bayes.NaiveBayes,4953,3.191489361702125,0.0
weka.classifiers.bayes.NaiveBayes,4953,2.10526315789474,20.0
weka.classifiers.trees.LMT,7487,12.765957446808514,9.090909090909093
weka.classifiers.bayes.NaiveBayes,7406,3.191489361702125,0.0
weka.classifiers.bayes.NaiveBayes,7406,3.1578947368421098,0.0
weka.classifiers.bayes.NaiveBayes,7406,2.1276595744680833,9.090909090909093
weka.classifiers.bayes.NaiveBayes,7406,3.191489361702125,0.0
weka.classifiers.bayes.NaiveBayes,7406,3.1578947368421098,0.0
weka.classifiers.bayes.NaiveBayes,7406,3.1578947368421098,0.0
weka.classifiers.bayes.NaiveBayes,7406,3.191489361702125,0.0
weka.classifiers.bayes.NaiveBayes,7406,1.05263157894737,20.0
weka.classifiers.bayes.NaiveBayes,7406,3.191489361702125,0.0
weka.classifiers.bayes.NaiveBayes,7406,3.1578947368421098,0.0
weka.classifiers.functions.MultilayerPerceptron,13193,0.0,0.0
weka.classifiers.functions.MultilayerPerceptron,13193,0.0,0.0
weka.classifiers.functions.MultilayerPerceptron,13193,0.0,0.0
weka.classifiers.functions.MultilayerPerceptron,13193,1.0638297872340416,0.0
weka.classifiers.functions.MultilayerPerceptron,13195,0.0,20.0
weka.classifiers.functions.MultilayerPerceptron,13195,0.0,10.0
weka.classifiers.functions.MultilayerPerceptron,13193,2.1276595744680833,0.0
weka.classifiers.trees.RandomForest,15278,4.21052631578948,0.0
weka.classifiers.trees.RandomForest,15278,2.10526315789474,10.0
weka.classifiers.trees.RandomForest,15278,3.191489361702125,0.0
weka.classifiers.trees.RandomForest,15278,2.1276595744680833,0.0
weka.classifiers.trees.RandomForest,15333,3.1578947368421098,0.0
weka.classifiers.trees.RandomForest,15333,2.1276595744680833,9.090909090909093
weka.classifiers.trees.RandomForest,15333,1.0638297872340416,9.090909090909093
weka.classifiers.trees.RandomForest,15333,2.1276595744680833,0.0
weka.classifiers.trees.RandomForest,15333,29.473684210526315,70.0
weka.classifiers.trees.RandomForest,15333,2.10526315789474,20.0
weka.classifiers.lazy.KStar,12378,3.1578947368421098,0.0
weka.classifiers.lazy.KStar,12378,3.1578947368421098,0.0
weka.classifiers.lazy.KStar,10114,3.191489361702125,0.0
weka.classifiers.lazy.KStar,12317,2.1276595744680833,0.0
weka.classifiers.lazy.KStar,12378,2.10526315789474,0.0
weka.classifiers.lazy.KStar,10167,3.1578947368421098,0.0
weka.classifiers.lazy.KStar,10114,3.191489361702125,0.0
weka.classifiers.lazy.KStar,12317,2.1276595744680833,9.090909090909093
weka.classifiers.lazy.KStar,12317,1.0638297872340416,0.0
weka.classifiers.lazy.KStar,10167,0.0,20.0
weka.classifiers.trees.RandomForest,4369,4.255319148936167,9.090909090909093
weka.classifiers.meta.Bagging,10806,64.21052631578948,90.0
weka.classifiers.trees.RandomForest,103974,0.0,30.0
weka.classifiers.rules.OneR,1301,2.10526315789474,20.0
weka.classifiers.trees.RandomForest,7542,1.0638297872340416,0.0
