classifier,size,train,valid
weka.classifiers.bayes.NaiveBayes,2002,3.1578947368421098,0.0
weka.classifiers.bayes.NaiveBayes,2064,1.05263157894737,0.0
weka.classifiers.bayes.NaiveBayes,2061,0.0,9.090909090909093
weka.classifiers.bayes.NaiveBayes,2008,3.191489361702125,0.0
weka.classifiers.bayes.NaiveBayes,2000,2.10526315789474,20.0
weka.classifiers.trees.LMT,2709,12.765957446808514,9.090909090909093
weka.classifiers.bayes.NaiveBayes,1778,3.191489361702125,0.0
weka.classifiers.bayes.NaiveBayes,1721,3.1578947368421098,0.0
weka.classifiers.bayes.NaiveBayes,1721,2.1276595744680833,9.090909090909093
weka.classifiers.bayes.NaiveBayes,1722,3.191489361702125,0.0
weka.classifiers.bayes.NaiveBayes,1779,3.1578947368421098,0.0
weka.classifiers.bayes.NaiveBayes,1707,3.1578947368421098,0.0
weka.classifiers.bayes.NaiveBayes,1714,3.191489361702125,0.0
weka.classifiers.bayes.NaiveBayes,1722,1.05263157894737,20.0
weka.classifiers.bayes.NaiveBayes,1784,3.191489361702125,0.0
weka.classifiers.bayes.NaiveBayes,1724,3.1578947368421098,0.0
weka.classifiers.functions.MultilayerPerceptron,4098,0.0,0.0
weka.classifiers.functions.MultilayerPerceptron,4084,0.0,0.0
weka.classifiers.functions.MultilayerPerceptron,4086,0.0,0.0
weka.classifiers.functions.MultilayerPerceptron,4082,1.0638297872340416,0.0
weka.classifiers.functions.MultilayerPerceptron,4098,0.0,20.0
weka.classifiers.functions.MultilayerPerceptron,4093,0.0,10.0
weka.classifiers.functions.MultilayerPerceptron,4090,2.1276595744680833,0.0
weka.classifiers.trees.RandomForest,3006,4.21052631578948,0.0
weka.classifiers.trees.RandomForest,3019,2.10526315789474,10.0
weka.classifiers.trees.RandomForest,3037,3.191489361702125,0.0
weka.classifiers.trees.RandomForest,3132,2.1276595744680833,0.0
weka.classifiers.trees.RandomForest,3056,3.1578947368421098,0.0
weka.classifiers.trees.RandomForest,3095,2.1276595744680833,9.090909090909093
weka.classifiers.trees.RandomForest,3099,1.0638297872340416,9.090909090909093
weka.classifiers.trees.RandomForest,3069,2.1276595744680833,0.0
weka.classifiers.trees.RandomForest,3042,29.473684210526315,70.0
weka.classifiers.trees.RandomForest,3087,2.10526315789474,20.0
weka.classifiers.lazy.KStar,4101,3.1578947368421098,0.0
weka.classifiers.lazy.KStar,4096,3.1578947368421098,0.0
weka.classifiers.lazy.KStar,3217,3.191489361702125,0.0
weka.classifiers.lazy.KStar,4073,2.1276595744680833,0.0
weka.classifiers.lazy.KStar,4094,2.10526315789474,0.0
weka.classifiers.lazy.KStar,3198,3.1578947368421098,0.0
weka.classifiers.lazy.KStar,3210,3.191489361702125,0.0
weka.classifiers.lazy.KStar,4094,2.1276595744680833,9.090909090909093
weka.classifiers.lazy.KStar,4105,1.0638297872340416,0.0
weka.classifiers.lazy.KStar,3202,0.0,20.0
weka.classifiers.trees.RandomForest,1922,4.255319148936167,9.090909090909093
weka.classifiers.meta.Bagging,2772,64.21052631578948,90.0
weka.classifiers.trees.RandomForest,13504,0.0,30.0
weka.classifiers.rules.DecisionTable,3475,1.0638297872340416,0.0
weka.classifiers.rules.DecisionTable,3288,3.1578947368421098,0.0
weka.classifiers.rules.DecisionTable,3462,1.05263157894737,0.0
weka.classifiers.rules.DecisionTable,3462,2.1276595744680833,9.090909090909093
weka.classifiers.rules.DecisionTable,3480,4.21052631578948,0.0
weka.classifiers.rules.DecisionTable,3284,3.191489361702125,0.0
weka.classifiers.rules.DecisionTable,3312,3.191489361702125,0.0
weka.classifiers.trees.J48,1640,30.851063829787236,54.54545454545455
weka.classifiers.rules.DecisionTable,2567,3.191489361702125,0.0
weka.classifiers.rules.DecisionTable,2571,2.10526315789474,20.0
weka.classifiers.rules.DecisionTable,2664,2.1276595744680833,9.090909090909093
weka.classifiers.rules.DecisionTable,2675,3.1578947368421098,0.0
weka.classifiers.rules.DecisionTable,2684,3.191489361702125,0.0
weka.classifiers.rules.DecisionTable,2675,3.1578947368421098,0.0
weka.classifiers.rules.DecisionTable,2580,3.191489361702125,0.0
weka.classifiers.rules.DecisionTable,2571,3.1578947368421098,0.0
weka.classifiers.rules.DecisionTable,2681,2.1276595744680833,9.090909090909093
weka.classifiers.rules.DecisionTable,2648,2.10526315789474,20.0
weka.classifiers.trees.REPTree,1401,3.191489361702125,0.0
weka.classifiers.trees.REPTree,1405,3.1578947368421098,0.0
weka.classifiers.trees.REPTree,1359,2.1276595744680833,9.090909090909093
weka.classifiers.trees.REPTree,1412,2.1276595744680833,0.0
weka.classifiers.trees.REPTree,1438,3.191489361702125,0.0
weka.classifiers.trees.REPTree,1342,3.191489361702125,0.0
weka.classifiers.trees.REPTree,1372,0.0,30.0
weka.classifiers.rules.DecisionTable,3562,1.05263157894737,0.0
weka.classifiers.rules.DecisionTable,3452,2.1276595744680833,9.090909090909093
weka.classifiers.rules.DecisionTable,3567,1.0638297872340416,0.0
weka.classifiers.bayes.NaiveBayes,2213,0.0,9.090909090909093
weka.classifiers.bayes.NaiveBayes,2166,3.1578947368421098,0.0
weka.classifiers.bayes.NaiveBayes,2182,3.1578947368421098,0.0
weka.classifiers.bayes.NaiveBayes,2163,3.1578947368421098,20.0
weka.classifiers.bayes.NaiveBayes,2217,1.05263157894737,0.0
weka.classifiers.bayes.NaiveBayes,2195,1.05263157894737,30.0
weka.classifiers.bayes.NaiveBayes,2234,1.0638297872340416,0.0
weka.classifiers.rules.OneR,814,2.1276595744680833,9.090909090909093
weka.classifiers.bayes.NaiveBayes,1672,3.1578947368421098,0.0
weka.classifiers.bayes.NaiveBayes,1687,3.1578947368421098,0.0
weka.classifiers.bayes.NaiveBayes,1679,3.1578947368421098,0.0
weka.classifiers.bayes.NaiveBayes,1649,3.191489361702125,0.0
weka.classifiers.bayes.NaiveBayes,1657,1.05263157894737,30.0
weka.classifiers.bayes.NaiveBayes,1700,3.191489361702125,0.0
weka.classifiers.bayes.NaiveBayes,1675,3.191489361702125,0.0
weka.classifiers.rules.PART,1966,3.191489361702125,9.090909090909093
weka.classifiers.functions.Logistic,2244,0.0,10.0
weka.classifiers.functions.Logistic,2135,2.10526315789474,0.0
weka.classifiers.functions.Logistic,2136,2.1276595744680833,9.090909090909093
weka.classifiers.functions.Logistic,2137,2.1276595744680833,0.0
weka.classifiers.functions.Logistic,2137,0.0,20.0
weka.classifiers.functions.Logistic,2138,2.10526315789474,0.0
weka.classifiers.functions.Logistic,2137,2.10526315789474,0.0
weka.classifiers.functions.Logistic,2135,2.10526315789474,0.0
weka.classifiers.functions.Logistic,2138,2.1276595744680833,0.0
weka.classifiers.functions.Logistic,2139,2.1276595744680833,0.0
weka.classifiers.functions.Logistic,2140,2.1276595744680833,0.0
weka.classifiers.trees.DecisionStump,1000,29.473684210526315,70.0
weka.classifiers.meta.AttributeSelectedClassifier,3296,30.526315789473685,60.0
weka.classifiers.rules.PART,1937,3.1578947368421098,0.0
weka.classifiers.rules.PART,1942,2.10526315789474,20.0
weka.classifiers.rules.PART,1901,3.1578947368421098,0.0
weka.classifiers.rules.PART,1898,2.1276595744680833,9.090909090909093
weka.classifiers.rules.PART,2124,1.0638297872340416,9.090909090909093
weka.classifiers.rules.PART,1948,3.191489361702125,0.0
weka.classifiers.rules.PART,1958,3.191489361702125,0.0
weka.classifiers.rules.PART,2107,1.0638297872340416,0.0
weka.classifiers.rules.PART,2230,1.05263157894737,0.0
weka.classifiers.rules.PART,2000,0.0,9.090909090909093
weka.classifiers.rules.PART,2048,1.0638297872340416,9.090909090909093
weka.classifiers.rules.PART,2000,0.0,30.0
weka.classifiers.rules.PART,2047,1.0638297872340416,0.0
weka.classifiers.rules.PART,1996,1.05263157894737,0.0
weka.classifiers.trees.REPTree,1158,64.21052631578948,90.0
weka.classifiers.bayes.NaiveBayesMultinomial,1139,23.40425531914893,45.45454545454545
weka.classifiers.rules.PART,1893,3.1578947368421098,0.0
